oid,gender,role_count,birth_year,decade
4da1977fb538b73d9300b0c3,"""female""",4.0,1913,1910s
4e1f926272edc24d91000135,"""male""",4.0,1928,1920s
4da1df8cb538b73d93029884,"""male""",2.0,1922,1920s
4da1978db538b73d9300b2fe,"""male""",2.0,1915,1910s
4da1bb98b538b73d93022dce,"""female""",1.0,1931,1930s
4da1fcfeb538b73d9302be62,"""male""",1.0,1922,1920s
4e73d6a6d707ff5ff800001a,"""female""",5.0,1949,1940s
4da1979bb538b73d9300b5d3,"""male""",1.0,1951,1950s
4da1af9bb538b73d9301d729,"""male""",3.0,1973,1970s
4e1f926372edc24d91000147,"""female""",2.0,1917,1910s
4e71593dd707ff1637000009,"""female""",1.0,1928,1920s
4da197adb538b73d9300b982,"""male""",1.0,1973,1970s
4da1dc25b538b73d93028a82,"""male""",3.0,1945,1940s
4da197b7b538b73d9300bbbd,"""female""",2.0,1936,1930s
4da197b6b538b73d9300bba5,"""female""",2.0,1938,1930s
4da1ba86b538b73d93022451,"""male""",6.0,1960,1960s
4da197bdb538b73d9300bd8b,"""male""",1.0,1920,1920s
4da197c1b538b73d9300be28,"""female""",1.0,1959,1950s
4da1a91db538b73d9301af15,"""male""",6.0,1949,1940s
4da1b5efb538b73d9301fb07,"""male""",4.0,1972,1970s
4da1b599b538b73d9301f839,"""female""",9.0,1958,1950s
4da1f5b8b538b73d9302b509,"""female""",8.0,1943,1940s
4da1b5d9b538b73d9301f9f1,"""female""",7.0,1965,1960s
4da197eab538b73d9300c4b6,"""female""",3.0,1925,1920s
4da1ebc8b538b73d9302ae3b,"""male""",5.0,1970,1970s
4da197eab538b73d9300c4fc,"""female""",1.0,1934,1930s
4da197ecb538b73d9300c55a,"""female""",3.0,1934,1930s
4da1b640b538b73d9302000d,"""female""",4.0,1946,1940s
4da1980ab538b73d9300c988,"""female""",4.0,1943,1940s
5164bb14d707ff0bc7000000,"""male""",4.0,1949,1940s
5a0e6746d707ff0f9400002b,"""female""",5.0,1959,1950s
4da19825b538b73d9300cd64,"""male""",3.0,1917,1910s
4da1eb4eb538b73d9302a7e0,"""female""",4.0,1953,1950s
4da1b5cfb538b73d9301f89c,"""male""",3.0,1965,1960s
4da19835b538b73d9300d001,"""female""",3.0,1939,1930s
4da1bd13b538b73d93023a08,"""female""",2.0,1935,1930s
4da19866b538b73d9300d4f9,"""female""",10.0,1909,1900s
4da1c921b538b73d93026929,"""female""",4.0,1971,1970s
4da19881b538b73d9300d841,"""female""",3.0,1933,1930s
4da19889b538b73d9300d98b,"""female""",3.0,1919,1910s
4da1988bb538b73d9300d9a9,"""male""",4.0,1937,1930s
4e7a89f5d707ff49e900000a,"""female""",3.0,1941,1940s
4da19891b538b73d9300da62,"""male""",8.0,1952,1950s
4da19898b538b73d9300db61,"""male""",3.0,1906,1900s
4da19898b538b73d9300db72,"""female""",2.0,1906,1900s
4da1cbe4b538b73d93027010,"""female""",1.0,1950,1950s
4da198a4b538b73d9300dd04,"""male""",1.0,1919,1910s
