0,1,2,3,Year
,Reginald Jerrold-Nathan,The Hon TR Bavin MLA,,1928
,Reginald Jerrold-Nathan,Mr AW Green,,1928
,Reginald Jerrold-Nathan,Sir Alfred Meeks,,1928
/prizes/archibald/1928/16966/,George W Lambert,Mr Howard Hinton,,1928
/prizes/archibald/1928/16965/,George W Lambert,Mr Julian Rossi Ashton,,1928
,Frederick William Leist,Diana Moody,,1928
,Aletta Lewis,Mrs Victor Jenkins,,1928
,Aletta Lewis,Professor AR Radcliffe Brown,,1928
/prizes/archibald/1928/17118/,John Longstaff,Dr Alexander Leeper,(Winner: Archibald Prize 1928),1928
,John Longstaff,The Hon Theodore Fink,,1928
,Alfred Ernest MacDonald,Mrs AE Macdonald,,1928
,R J McFadden,Self-portrait,,1928
/prizes/archibald/1928/17392/,W B McInnes,"Mr Frank Tate, CMG, MA",,1928
,Frederick Hutchisen Monteath,Mr William Macleod,,1928
,Arthur J Murch,"Senior Chaplain James Green, CMG, VD",,1928
,Percival James Norton,"The Hon SR Innes Noad, MLC",,1928
,Oswald Paul,Mr Roderic Quinn,,1928
,Oswald Paul,Steele Rudd,,1928
/prizes/archibald/1928/18004/,Adelaide Perry,Mrs Mary Gilmore,,1928
/prizes/archibald/1928/18005/,Adelaide Perry,Mr Basil Burdett,,1928
,Edward H Perry,The Duke of Wellington,,1928
,William Rowell,"Mr Allan Wilkie, CBE",,1928
,Lyall Trindall,Miss Florence McDonald,,1928
,J S Watkins,Professor Randal Woodhouse,,1928
,Percy I White,"Rt Hon Sir Isaac A Isaacs, PC, KCMG",,1928
,Percy I White,"Dr William Maloney, MHR",,1928
,Percy I White,Mr LV Biggs,,1928
,Percy I White,"Very Rev Rabbi Dr Joseph Abrahams, MA, PhD",,1928
,Percy I White,Mr Edward Vidler,,1928
,Leslie Wilkie,Mr James Ashton,,1928
,Mary Will-Slade,Late Lester S Donaldson SM,,1928
,Mary Will-Slade,An octogenarian,,1928
,Joseph Wolinski,Captain Watson,,1928
,Joseph Wolinski,The paisley shawl,,1928
,Joseph Wolinski,Mr AJ Fischer,,1928
,James Muir Auld,Portrait of a lady,,1929
/prizes/archibald/1929/14575/,James Muir Auld,Self-portrait,,1929
,Herbert Badham,"W Moppett, MD",,1929
,Caroline Barker,Portrait,,1929
,Bessie Boultbee,Miss Margaret Elliott,,1929
/prizes/archibald/1929/14868/,Walter Armiger Bowring,"Miss Isabel Fidler, BA",,1929
,Walter Armiger Bowring,Mrs J McCaughey,,1929
,Walter Armiger Bowring,Rear Admiral ERGR Evans,,1929
/prizes/archibald/1929/14867/,Walter Armiger Bowring,"Geoffrey Fairfax, Esq",,1929
,Ernest Buckmaster,Mrs E Wharton Lloyd,,1929
,Ernest Buckmaster,Self-portrait,,1929
,Ernest Buckmaster,"L Gill, Esq",,1929
,Norman Carter,Sir Thomas Henley,,1929
,Norman Carter,Miss Mary Doberer,,1929
,Elaine Coghlan,Monsieur de Closay,,1929
,Colin Colahan,M Tarczynski,,1929
,Irene E Crossing,"Frank Albert, Esq",,1929
,Thomas Dean,Miss H Saunders,,1929
,EJ De Lough,Life's triple span,,1929
/prizes/archibald/1929/15653/,Roi de Mestre,"His Excellency The Governor of NSW, the Right Honorable Admiral,  Sir Dudley de Chair, KCB, MVO",,1929
