FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Howard Taylor,Lucy Howard-Taylor,https://www.austlit.edu.au/austlit/page/A117984,Lucy Howard-Taylor,https://www.austlit.edu.au/austlit/page/A117984,Taylor,TRUE,Lucy Howard-Taylor,https://www.austlit.edu.au/austlit/page/A117984,"No match, but related record",Howard-Taylor,Howard-Taylor
Michael Taylor,Michael Taylor,https://www.austlit.edu.au/austlit/page/A115160,Michael Taylor,https://www.austlit.edu.au/austlit/page/A115160,Taylor,TRUE,Michael Taylor,https://www.austlit.edu.au/austlit/page/A115160,Exact match,Taylor,Taylor
Graham Taylor,Graham Taylor,https://www.austlit.edu.au/austlit/page/A151341,Graham Taylor,https://www.austlit.edu.au/austlit/page/A151341,Taylor,TRUE,Graham Taylor,https://www.austlit.edu.au/austlit/page/A151341,Exact match,Taylor,Taylor
Wendy Teakel,No Result Found,,No Result Found,,Teakel,TRUE,No Result Found,,No match,Found,Found
Arleen TextaQueen,No Result Found,,No Result Found,,TextaQueen,TRUE,No Result Found,,No match,Found,Found
Ken Thaiday,Ken Thaiday Snr,https://www.austlit.edu.au/austlit/page/8928634,Ken Thaiday Snr,https://www.austlit.edu.au/austlit/page/8928634,Thaiday,TRUE,Ken Thaiday Snr,https://www.austlit.edu.au/austlit/page/8928634,Exact match,Snr,Snr
Eric Thake,Louis Kahan,https://www.austlit.edu.au/austlit/page/A61418,No Result Found,,Thake,TRUE,,,"No match, but related record",Kahan,Found
nan Thanakupi,No Result Found,,No Result Found,,Thanakupi,TRUE,No Result Found,,No match,Found,Found
Rover Thomas,Adam Fiala,https://www.austlit.edu.au/austlit/page/9037721,Queenie McKenzie,https://www.austlit.edu.au/austlit/page/A121796,Thomas,TRUE,,,"No match, but related record",Fiala,McKenzie
Christian Thompson,Christian Thompson,https://www.austlit.edu.au/austlit/page/8928647,Christian Thompson,https://www.austlit.edu.au/austlit/page/8928647,Thompson,TRUE,Christian Thompson,https://www.austlit.edu.au/austlit/page/8928647,Exact match,Thompson,Thompson
Dorothy Thornhill,Vera Newsom,https://www.austlit.edu.au/austlit/page/A20748,No Result Found,,Thornhill,TRUE,,,"No match, but related record",Newsom,Found
Imants Tillers,Imants Tillers,https://www.austlit.edu.au/austlit/page/A13984,Imants Tillers,https://www.austlit.edu.au/austlit/page/A13984,Tillers,TRUE,Imants Tillers,https://www.austlit.edu.au/austlit/page/A13984,Exact match,Tillers,Tillers
Esme Timbery,No Result Found,,No Result Found,,Timbery,TRUE,No Result Found,,No match,Found,Found
Freddie Timms,Quentin Sprague,https://www.austlit.edu.au/austlit/page/8416316,No Result Found,,Timms,TRUE,,,"No match, but related record",Sprague,Found
Richard Kelly Tipping,Richard Tipping,https://www.austlit.edu.au/austlit/page/A3864,Richard Tipping,https://www.austlit.edu.au/austlit/page/A3864,Tipping,TRUE,Richard Tipping,https://www.austlit.edu.au/austlit/page/A3864,Exact match,Tipping,Tipping
Jacky Tjakamarra,No Result Found,,No Result Found,,Tjakamarra,TRUE,No Result Found,,No match,Found,Found
Walter Tjampitjinpa,No Result Found,,No Result Found,,Tjampitjinpa,TRUE,No Result Found,,No match,Found,Found
Kaapa Tjampitjinpa,No Result Found,,No Result Found,,Tjampitjinpa,TRUE,No Result Found,,No match,Found,Found
Ronnie Tjampitjinpa,No Result Found,,No Result Found,,Tjampitjinpa,TRUE,No Result Found,,No match,Found,Found
Uta Uta Tjangala,No Result Found,,No Result Found,,Tjangala,TRUE,No Result Found,,No match,Found,Found
Clifford Possum Tjapaltjarri,Vivien Johnson,https://www.austlit.edu.au/austlit/page/A115117,Clifford Possum Tjapaltjarri,https://www.austlit.edu.au/austlit/page/A115116,Tjapaltjarri,TRUE,Clifford Possum Tjapaltjarri,https://www.austlit.edu.au/austlit/page/A115116,Exact match,Johnson,Tjapaltjarri
Theo Brown Tjapaltjarri,No Result Found,,No Result Found,,Tjapaltjarri,TRUE,No Result Found,,No match,Found,Found
Kanya Tjapangati,No Result Found,,No Result Found,,Tjapangati,TRUE,No Result Found,,No match,Found,Found
Brandy Tjungurrayai,No Result Found,,No Result Found,,Tjungurrayai,TRUE,No Result Found,,No match,Found,Found
Yala Yala Tjungurrayi,No Result Found,,No Result Found,,Tjungurrayi,TRUE,No Result Found,,No match,Found,Found
Aida Tomescu,No Result Found,,No Result Found,,Tomescu,TRUE,No Result Found,,No match,Found,Found
Peter Travis,Peter Yaxley,https://www.austlit.edu.au/austlit/page/6383700,Peter Earsman,https://www.austlit.edu.au/austlit/page/A4271,Travis,TRUE,,,"No match, but related record",Yaxley,Earsman
Ellen Trevorrow,Ellen Trevorrow,https://www.austlit.edu.au/austlit/page/A119931,Ellen Trevorrow,https://www.austlit.edu.au/austlit/page/A119931,Trevorrow,TRUE,Ellen Trevorrow,https://www.austlit.edu.au/austlit/page/A119931,Exact match,Trevorrow,Trevorrow
Albert Tucker,Albert Tucker,https://www.austlit.edu.au/austlit/page/A18404,Albert Tucker,https://www.austlit.edu.au/austlit/page/A18404,Tucker,TRUE,Albert Tucker,https://www.austlit.edu.au/austlit/page/A18404,Exact match,Tucker,Tucker
